team,home_venue
Adelaide Crows,Adelaide Oval
Brisbane Lions,Gabba
Carlton Blues,MCG
Collingwood Magpies,MCG
Essendon Bombers,Marvel Stadium
Fremantle Dockers,Optus Stadium
Geelong Cats,GMHBA Stadium
Gold Coast Suns,People First Stadium
Greater Western Sydney Giants,ENGIE Stadium
Hawthorn Hawks,MCG
Melbourne Demons,MCG
North Melbourne Kangaroos,Marvel Stadium
Port Adelaide Power,Adelaide Oval
Richmond Tigers,MCG
St Kilda Saints,Marvel Stadium
Sydney Swans,SCG
West Coast Eagles,Optus Stadium
Western Bulldogs,Marvel Stadium
