id,date,round,hteam,ateam,hscore,ascore,venue,winner,complete,margin
34260,2023-03-16 19:20:00,1,Richmond,Carlton,58,58,M.C.G.,,100,0
34261,2023-03-17 19:40:00,1,Geelong,Collingwood,103,125,M.C.G.,Collingwood,100,-22
34262,2023-03-18 13:45:00,1,North Melbourne,West Coast,87,82,Docklands,North Melbourne,100,5
34263,2023-03-18 16:35:00,1,Port Adelaide,Brisbane Lions,126,72,Adelaide Oval,Port Adelaide,100,54
34264,2023-03-18 19:25:00,1,Melbourne,Western Bulldogs,115,65,M.C.G.,Melbourne,100,50
34265,2023-03-18 20:00:00,1,Gold Coast,Sydney,61,110,Carrara,Sydney,100,-49
34266,2023-03-19 13:10:00,1,Greater Western Sydney,Adelaide,106,90,Sydney Showground,Greater Western Sydney,100,16
34267,2023-03-19 15:20:00,1,Hawthorn,Essendon,65,124,M.C.G.,Essendon,100,-59
34268,2023-03-19 16:40:00,1,St Kilda,Fremantle,67,52,Docklands,St Kilda,100,15
34269,2023-03-23 19:20:00,2,Carlton,Geelong,90,82,M.C.G.,Carlton,100,8
34270,2023-03-24 19:55:00,2,Brisbane Lions,Melbourne,93,82,Gabba,Brisbane Lions,100,11
34271,2023-03-25 13:45:00,2,Collingwood,Port Adelaide,135,64,M.C.G.,Collingwood,100,71
34272,2023-03-25 16:35:00,2,Adelaide,Richmond,76,108,Adelaide Oval,Richmond,100,-32
34273,2023-03-25 19:25:00,2,Western Bulldogs,St Kilda,41,92,Docklands,St Kilda,100,-51
34274,2023-03-25 19:30:00,2,Fremantle,North Melbourne,72,73,Perth Stadium,North Melbourne,100,-1
34275,2023-03-26 13:10:00,2,Sydney,Hawthorn,118,37,S.C.G.,Sydney,100,81
34276,2023-03-26 15:20:00,2,Essendon,Gold Coast,108,80,Docklands,Essendon,100,28
34277,2023-03-26 18:20:00,2,West Coast,Greater Western Sydney,100,81,Perth Stadium,West Coast,100,19
34278,2023-03-30 19:20:00,3,Western Bulldogs,Brisbane Lions,67,53,Docklands,Western Bulldogs,100,14
34279,2023-03-31 19:50:00,3,Collingwood,Richmond,63,49,M.C.G.,Collingwood,100,14
34280,2023-04-01 13:45:00,3,Hawthorn,North Melbourne,80,61,York Park,Hawthorn,100,19
34281,2023-04-01 16:35:00,3,Greater Western Sydney,Carlton,64,74,Sydney Showground,Carlton,100,-10
34282,2023-04-01 19:25:00,3,St Kilda,Essendon,92,74,M.C.G.,St Kilda,100,18
34283,2023-04-01 19:30:00,3,Port Adelaide,Adelaide,86,117,Adelaide Oval,Adelaide,100,-31
34284,2023-04-02 14:10:00,3,Gold Coast,Geelong,73,54,Carrara,Gold Coast,100,19
34285,2023-04-02 15:20:00,3,Melbourne,Sydney,134,84,M.C.G.,Melbourne,100,50
34286,2023-04-02 17:20:00,3,Fremantle,West Coast,108,67,Perth Stadium,Fremantle,100,41
34287,2023-04-06 19:35:00,4,Brisbane Lions,Collingwood,116,83,Gabba,Brisbane Lions,100,33
34288,2023-04-07 16:20:00,4,North Melbourne,Carlton,84,107,Docklands,Carlton,100,-23
34289,2023-04-08 13:45:00,4,Adelaide,Fremantle,111,72,Adelaide Oval,Adelaide,100,39
34290,2023-04-08 16:35:00,4,Richmond,Western Bulldogs,84,89,M.C.G.,Western Bulldogs,100,-5
34291,2023-04-08 19:30:00,4,St Kilda,Gold Coast,113,60,Docklands,St Kilda,100,53
34292,2023-04-08 19:30:00,4,Sydney,Port Adelaide,64,66,S.C.G.,Port Adelaide,100,-2
34293,2023-04-09 14:10:00,4,Essendon,Greater Western Sydney,88,75,Docklands,Essendon,100,13
